HART ID,Region,DHB ID,DHB Name,Campus ID,Campus Name,Building Name,Highest Building Service,Year Built,"Number of storeys 
(Ground floor and up)","Basement floors 
(Floors below ground floor)",Total # Floors,GFA,Condition Grade,Condition,%NBS,Graded NBS,Seismic IL,Seismic Zone
10031,Northern,1,Auckland,2,ADHB Community - Dental,Pt England Primary,Hospital,2010,,,-,216,Good,1.12,NSA,NA,IL2,Low Zone
10024,Northern,1,Auckland,2,ADHB Community - Dental,Avondale Intermediate,Hospital,2011,,,-,172,Good,1.12,NSA,NA,IL2,Low Zone
10026,Northern,1,Auckland,2,ADHB Community - Dental,Blockhouse Bay Intermediate,Hospital,2011,,,-,172,Good,1.12,NSA,NA,IL2,Low Zone
10027,Northern,1,Auckland,2,ADHB Community - Dental,May Road Primary ,Hospital,2012,,,-,172,Good,1.12,NSA,NA,IL2,Low Zone
10029,Northern,1,Auckland,2,ADHB Community - Dental,Otahuhu Primary ,Hospital,2010,,,-,172,Good,1.12,NSA,NA,IL2,Low Zone
10030,Northern,1,Auckland,2,ADHB Community - Dental,Ponsonby Intermediate,Hospital,2011,,,-,172,Good,1.12,NSA,NA,IL2,Low Zone
10032,Northern,1,Auckland,2,ADHB Community - Dental,Royal Oak Primary ,Hospital,2011,,,-,172,Good,1.12,NSA,NA,IL2,Low Zone
10033,Northern,1,Auckland,2,ADHB Community - Dental,Stonefields Primary ,Hospital,2010,,,-,172,Good,1.12,NSA,NA,IL2,Low Zone
10035,Northern,1,Auckland,2,ADHB Community - Dental,Wesley Intermediate,Hospital,2011,,,-,172,Good,1.12,NSA,NA,IL2,Low Zone
10034,Northern,1,Auckland,2,ADHB Community - Dental,Sylvia Park Primary,Hospital,2010,,,-,138,Good,1.12,NSA,NA,IL2,Low Zone
10025,Northern,1,Auckland,2,ADHB Community - Dental,Balmoral Primary (attached to school buildings),Hospital,2010,,,-,112,Good,1.12,NSA,NA,IL2,Low Zone
10028,Northern,1,Auckland,2,ADHB Community - Dental,Orakei Primary ,Hospital,2011,,,-,108,Good,1.12,NSA,NA,IL2,Low Zone
